Table 1.
        TF-IDF listing of first 25 tri-grams and five-grams.
Trigrams,Fivegrams
TF-IDF,3-gram,TF-IDF,5-gram
169.94,Want to die,32.819278,To take my own life
126.36,To kill myself,24.633562,Want to die right now
71.75,To commit suicide,22.590259,Have nothing to live for
68.18,Want to kill,19.691567,It’s not worth it anymore
65.64,Can’t live,19.691567,Don’t want to live anymore
61.18,To end it,19.691567,Me want to kill myself
58.3,I’m tired of,19.691567,Myself hate my life hate
54.46,I hate myself,19.43643,Want to be here anymore
53.81,End it all,18.475171,Want it to be over
47.44,End my life,18.475171,Want it all to end
36.95,Take my own,18.475171,Wish could just fall asleep
33.89,Kill myself and,17.612125,Fall asleep and never wake
32.82,My death would,15.933278,Want to end it all
32.79,To live anymore,13.127711,Just really want to die
31.87,About killing myself,13.127711,Rather die its not worth
29.73,Kill myself i,13.127711,I’m sorry that im leaving
29.73,Never wake up,13.127711,Fuck trying to live normal
28.24,Killing myself i,13.127711,So why should continue living
26.26,Stop the pain,13.127711,Don’t want to live defeated
26.26,Kill myself right,13.127711,To commit suicide within few
25.89,Thoughts of suicide,13.127711,And pain anymore just can
25.89,Point in living,13.127711,Put an end to this
24.63,Worth it anymore,13.127711,Been self harming for years
24.3,Have nothing to,13.127711,Bad really am worthless what
21.86,Wanted to die,13.127711,Life is this miserable just
