Table 2.
        Keywords and phrases search terms.
Asleep and never wake,Just want to sleep forever,Take my own life
Can’t do this anymore,Kill myself,Thoughts of suicide
Could just fall asleep,Killing myself,Tired of being alone
Die in my sleep,Life is so meaningless,Tired of being lonely
Don’t want to be here,Life is too hard,To end this nightmare
Don’t want to exist,Life is worthless,To hurt myself
Don’t want to go on,My death would,To live anymore
Don’t want to live,My life consists of nothing,Want it to be over
Don’t want to try anymore,My life is pointless,Want to be alive anymore
Don’t want to wake up,My life is this miserable,Want to be around anymore
End it all,My life isn’t worth,Want to be dead
End my life,Not want to be alive,Want to be gone
End this pain,Nothing to live for,Want to be here anymore
Ending it all,Point in living,Want to die
Hate my life,Put an end to this,Want to disappear
Hate myself,Ready to die,Want to end it
I’m drowning,Really need to die,Wanted to die
I’m leaving now,Stop the pain,Wanting to kill yourself and
I’m worthless,Suicidal,What is wrong with me
Isn’t worth living,Suicide,Why should I continue living
Just want to give up,Take it anymore,
